Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
1,0.00100000,1.014151,0.865538,0.148613,0.108206,0.146223,0.430657,0.177215,0.153642,0.245965,0.377679,0.244212,0.905136,0.770926,0.134210,0.166586,0.190672,0.651480,0.270932,0.231460,0.327502,0.517551,0.356931,0.108901
2,0.00100000,0.909132,0.774747,0.134385,0.152804,0.174663,0.675603,0.248918,0.217917,0.295544,0.559266,0.338780,0.862321,0.733768,0.128553,0.189844,0.227253,0.595593,0.299355,0.241604,0.351093,0.496595,0.370386,0.149769
3,0.00100000,0.872662,0.741537,0.131125,0.169342,0.196037,0.661184,0.270412,0.231067,0.311225,0.558636,0.353390,0.897858,0.759055,0.138803,0.136536,0.145453,0.770725,0.231699,0.221336,0.249142,0.753558,0.350447,0.056847
4,0.00100000,0.852677,0.724048,0.128630,0.180422,0.213062,0.647229,0.284879,0.243363,0.333244,0.558071,0.367593,0.810947,0.685406,0.125541,0.225207,0.286650,0.562980,0.344216,0.253606,0.451209,0.393943,0.382058,0.164384
5,0.00100000,0.827183,0.702532,0.124650,0.199683,0.236708,0.636671,0.309076,0.263950,0.362675,0.553047,0.390893,0.807883,0.686620,0.121263,0.204621,0.241848,0.681095,0.320745,0.286515,0.429795,0.511385,0.417138,0.169700
6,0.00100000,0.813763,0.691503,0.122260,0.212135,0.259443,0.605251,0.325578,0.278607,0.396342,0.536382,0.408197,0.806349,0.682387,0.123962,0.207514,0.239234,0.666927,0.327015,0.273138,0.312068,0.746844,0.411028,0.119580
7,0.00100000,0.787661,0.669697,0.117964,0.231811,0.283039,0.620051,0.349509,0.299542,0.414845,0.559760,0.431782,0.720443,0.613765,0.106678,0.263936,0.296415,0.744842,0.396667,0.360426,0.461629,0.664840,0.508348,0.182446
8,0.00100000,0.773708,0.657559,0.116149,0.240489,0.290782,0.633359,0.360754,0.309316,0.427606,0.564447,0.442302,0.743616,0.633269,0.110347,0.231856,0.250421,0.826381,0.361281,0.353269,0.422683,0.726825,0.501453,0.142825
9,0.00100000,0.758336,0.644784,0.113552,0.256977,0.318946,0.630280,0.379985,0.326773,0.459630,0.575175,0.461780,0.718483,0.610326,0.108156,0.293301,0.366853,0.630435,0.423071,0.363319,0.523579,0.572172,0.502406,0.236460
10,0.00100000,0.752841,0.639764,0.113077,0.261960,0.321122,0.631497,0.384935,0.333927,0.464572,0.569762,0.466828,0.688643,0.582184,0.106459,0.312009,0.378875,0.683316,0.449784,0.389669,0.515331,0.658284,0.533742,0.233425
11,0.00100000,0.734608,0.624122,0.110485,0.277486,0.343598,0.634813,0.403106,0.346472,0.484272,0.584903,0.481756,0.753953,0.641671,0.112282,0.285034,0.408035,0.517410,0.410254,0.341702,0.493203,0.539410,0.474198,0.242572
12,0.00100000,0.739732,0.629606,0.110126,0.276171,0.345787,0.615974,0.400695,0.350363,0.486928,0.578178,0.483480,0.698510,0.592171,0.106339,0.328893,0.459749,0.573177,0.465508,0.358603,0.629219,0.466801,0.491894,0.272695
13,0.00100000,0.726473,0.617583,0.108890,0.286906,0.355798,0.628409,0.413266,0.355753,0.500332,0.577373,0.490325,0.664410,0.564737,0.099673,0.314120,0.359203,0.748876,0.455722,0.415486,0.501424,0.729016,0.563257,0.247840
14,0.00100000,0.722835,0.614199,0.108637,0.289154,0.353193,0.632907,0.413964,0.359395,0.495787,0.584123,0.491437,0.644511,0.547778,0.096733,0.329293,0.373615,0.762979,0.473331,0.433073,0.555307,0.687183,0.580262,0.240748
15,0.00100000,0.705654,0.599839,0.105815,0.302105,0.372921,0.640805,0.431213,0.375230,0.514753,0.593602,0.510092,0.715365,0.604854,0.110511,0.264659,0.294323,0.787232,0.398150,0.375112,0.440737,0.749309,0.519911,0.194857
16,0.00100000,0.710649,0.603469,0.107180,0.297524,0.364021,0.644538,0.426296,0.370235,0.510164,0.591285,0.505932,0.693566,0.589428,0.104137,0.290606,0.329541,0.731743,0.427103,0.382531,0.456001,0.717515,0.527777,0.228245
17,0.00100000,0.707389,0.601555,0.105834,0.293769,0.354234,0.677666,0.423994,0.371550,0.505695,0.615132,0.510202,0.680489,0.577748,0.102741,0.346520,0.476937,0.579675,0.484718,0.387800,0.640196,0.492921,0.524630,0.314430
18,0.00100000,0.709072,0.603411,0.105661,0.296142,0.360340,0.648961,0.424442,0.374765,0.507629,0.593430,0.508881,0.700752,0.594204,0.106548,0.299829,0.364606,0.669774,0.433859,0.383708,0.526785,0.607983,0.521919,0.243221
19,0.00100000,0.698779,0.593988,0.104791,0.304840,0.370773,0.665109,0.436649,0.380948,0.517344,0.601202,0.516775,0.665381,0.563642,0.101739,0.303573,0.335300,0.796304,0.445418,0.410385,0.468540,0.788606,0.559310,0.208883
