Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
1,0.00100000,0.882513,0.882513,0.000000,0.096822,0.146498,0.363062,0.160397,,,,,0.796180,0.796180,0.000000,0.139718,0.154613,0.674277,0.234149,,,,,0.064929
2,0.00100000,0.786740,0.786740,0.000000,0.143494,0.163859,0.621199,0.233735,,,,,0.779310,0.779310,0.000000,0.164997,0.236608,0.415648,0.264456,,,,,0.109243
3,0.00100000,0.769500,0.769500,0.000000,0.148125,0.174754,0.612114,0.239908,,,,,0.746596,0.746596,0.000000,0.150222,0.163275,0.721593,0.249394,,,,,0.076740
4,0.00100000,0.740318,0.740318,0.000000,0.164249,0.188351,0.659502,0.263773,,,,,0.726189,0.726189,0.000000,0.196671,0.263720,0.472667,0.305453,,,,,0.136824
5,0.00100000,0.733936,0.733936,0.000000,0.171070,0.198223,0.636805,0.271302,,,,,0.689408,0.689408,0.000000,0.194920,0.216037,0.727758,0.310841,,,,,0.121047
6,0.00100000,0.734027,0.734027,0.000000,0.170677,0.199193,0.618356,0.271119,,,,,0.701006,0.701006,0.000000,0.201421,0.251616,0.594682,0.314901,,,,,0.133297
7,0.00100000,0.727367,0.727367,0.000000,0.179094,0.214171,0.607154,0.280341,,,,,0.760569,0.760569,0.000000,0.193807,0.323966,0.333669,0.285519,,,,,0.150664
8,0.00100000,0.720199,0.720199,0.000000,0.182711,0.216702,0.629483,0.287218,,,,,0.669983,0.669983,0.000000,0.232694,0.305534,0.606216,0.353580,,,,,0.158832
9,0.00100000,0.701474,0.701474,0.000000,0.199429,0.236965,0.632572,0.308063,,,,,0.654531,0.654531,0.000000,0.224664,0.253100,0.746853,0.349005,,,,,0.133888
10,0.00100000,0.682840,0.682840,0.000000,0.216425,0.260673,0.635473,0.330936,,,,,0.660723,0.660723,0.000000,0.264857,0.381422,0.503700,0.391033,,,,,0.194907
11,0.00100000,0.686139,0.686139,0.000000,0.217104,0.266032,0.601631,0.331160,,,,,0.637797,0.637797,0.000000,0.241143,0.273529,0.729256,0.370077,,,,,0.155012
12,0.00100000,0.677682,0.677682,0.000000,0.222875,0.270918,0.621532,0.338526,,,,,0.614807,0.614807,0.000000,0.274120,0.320672,0.687159,0.405929,,,,,0.157080
