Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
28,0.00100000,0.618854,0.618854,0.000000,0.284352,0.353480,0.626991,0.412194,,,,,0.579817,0.579817,0.000000,0.313077,0.378543,0.683126,0.448690,,,,,0.246568
29,0.00100000,0.612027,0.612027,0.000000,0.290283,0.356507,0.639157,0.418184,,,,,0.558084,0.558084,0.000000,0.317850,0.361290,0.769680,0.458044,,,,,0.239981
30,0.00100000,0.607190,0.607190,0.000000,0.293589,0.362860,0.643607,0.422682,,,,,0.642464,0.642464,0.000000,0.304060,0.469203,0.460093,0.427359,,,,,0.294697
31,0.00100000,0.617576,0.617576,0.000000,0.284313,0.356989,0.621472,0.413381,,,,,0.551797,0.551797,0.000000,0.336619,0.393252,0.711156,0.477111,,,,,0.265804
32,0.00100000,0.603175,0.603175,0.000000,0.300718,0.376163,0.637917,0.431298,,,,,0.558235,0.558235,0.000000,0.333371,0.397446,0.705042,0.474471,,,,,0.233553
33,0.00100000,0.592156,0.592156,0.000000,0.313016,0.394522,0.632306,0.445167,,,,,0.545035,0.545035,0.000000,0.327181,0.371076,0.789298,0.470939,,,,,0.230108
34,0.00100000,0.609956,0.609956,0.000000,0.296013,0.370786,0.628044,0.423371,,,,,0.586811,0.586811,0.000000,0.285803,0.319214,0.775117,0.420944,,,,,0.199203
35,0.00100000,0.599621,0.599621,0.000000,0.301603,0.371202,0.639655,0.432209,,,,,0.552829,0.552829,0.000000,0.324209,0.366532,0.769846,0.465858,,,,,0.223526
36,0.00100000,0.598517,0.598517,0.000000,0.301487,0.370322,0.650402,0.432179,,,,,0.559045,0.559045,0.000000,0.316649,0.358071,0.766623,0.458857,,,,,0.224064
37,0.00100000,0.590107,0.590107,0.000000,0.311453,0.384653,0.646009,0.444039,,,,,0.581173,0.581173,0.000000,0.326809,0.406143,0.622445,0.460370,,,,,0.248936
38,0.00100000,0.586419,0.586419,0.000000,0.313484,0.386940,0.655351,0.446658,,,,,0.529386,0.529386,0.000000,0.366012,0.442676,0.711813,0.511398,,,,,0.307887
39,0.00100000,0.590327,0.590327,0.000000,0.306699,0.373059,0.677441,0.439437,,,,,0.552835,0.552835,0.000000,0.319288,0.354331,0.783777,0.461751,,,,,0.226306
40,0.00100000,0.574570,0.574570,0.000000,0.325517,0.395560,0.672296,0.458837,,,,,0.526945,0.526945,0.000000,0.368407,0.446367,0.709804,0.513921,,,,,0.269918
41,0.00100000,0.577388,0.577388,0.000000,0.322758,0.397673,0.666868,0.457521,,,,,0.542279,0.542279,0.000000,0.358939,0.439364,0.687228,0.498796,,,,,0.312524
42,0.00100000,0.585484,0.585484,0.000000,0.323541,0.408201,0.628345,0.454365,,,,,0.531377,0.531377,0.000000,0.356809,0.427044,0.737119,0.502187,,,,,0.266794
