Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
28,0.00100000,0.607923,0.607923,0.000000,0.291866,0.360878,0.641947,0.422791,,,,,0.568294,0.568294,0.000000,0.312288,0.361494,0.733906,0.452008,,,,,0.239759
29,0.00100000,0.622196,0.622196,0.000000,0.277686,0.340314,0.633317,0.405124,,,,,0.572909,0.572909,0.000000,0.308646,0.362810,0.746986,0.447736,,,,,0.234516
30,0.00100000,0.601994,0.601994,0.000000,0.296490,0.363304,0.656380,0.427742,,,,,0.568975,0.568975,0.000000,0.331300,0.413933,0.657419,0.471644,,,,,0.261409
31,0.00100000,0.596832,0.596832,0.000000,0.307739,0.385803,0.629464,0.439657,,,,,0.544443,0.544443,0.000000,0.364620,0.464982,0.648693,0.508351,,,,,0.302017
32,0.00100000,0.606036,0.606036,0.000000,0.298066,0.373877,0.624838,0.428047,,,,,0.574777,0.574777,0.000000,0.296806,0.329937,0.778035,0.436806,,,,,0.209679
33,0.00100000,0.599571,0.599571,0.000000,0.303495,0.373351,0.640984,0.432547,,,,,0.587685,0.587685,0.000000,0.305095,0.366234,0.677947,0.440345,,,,,0.242931
34,0.00100000,0.601226,0.601226,0.000000,0.297922,0.362636,0.656693,0.427507,,,,,0.548806,0.548806,0.000000,0.354098,0.437329,0.660762,0.497448,,,,,0.280829
35,0.00100000,0.604201,0.604201,0.000000,0.298715,0.365031,0.635927,0.426818,,,,,0.590955,0.590955,0.000000,0.308794,0.377957,0.645317,0.443186,,,,,0.241709
36,0.00100000,0.594902,0.594902,0.000000,0.304918,0.375448,0.649151,0.437603,,,,,0.533452,0.533452,0.000000,0.352305,0.406633,0.746016,0.494614,,,,,0.282828
37,0.00100000,0.573113,0.573113,0.000000,0.332368,0.408246,0.661280,0.465969,,,,,0.528124,0.528124,0.000000,0.363478,0.437699,0.719296,0.509083,,,,,0.290670
38,0.00100000,0.590550,0.590550,0.000000,0.308853,0.375702,0.657967,0.440820,,,,,0.539789,0.539789,0.000000,0.345407,0.406592,0.734508,0.490763,,,,,0.263735
39,0.00100000,0.582210,0.582210,0.000000,0.319429,0.391793,0.651091,0.452378,,,,,0.536690,0.536690,0.000000,0.344008,0.399245,0.752276,0.490297,,,,,0.257134
40,0.00100000,0.584824,0.584824,0.000000,0.320479,0.395589,0.641907,0.451328,,,,,0.547795,0.547795,0.000000,0.317685,0.346482,0.822266,0.460385,,,,,0.234167
41,0.00100000,0.584610,0.584610,0.000000,0.313168,0.379246,0.666350,0.446619,,,,,0.554129,0.554129,0.000000,0.338507,0.406660,0.690187,0.481526,,,,,0.276706
42,0.00100000,0.589934,0.589934,0.000000,0.310507,0.379635,0.654268,0.442385,,,,,0.532312,0.532312,0.000000,0.361492,0.429577,0.716437,0.504885,,,,,0.287369
43,0.00100000,0.584291,0.584291,0.000000,0.313507,0.379486,0.669198,0.446265,,,,,0.558107,0.558107,0.000000,0.330423,0.388226,0.711451,0.471484,,,,,0.270017
44,0.00020000,0.568764,0.568764,0.000000,0.336161,0.412577,0.659638,0.469540,,,,,0.516156,0.516156,0.000000,0.366869,0.424432,0.758227,0.514552,,,,,0.293208
45,0.00020000,0.549789,0.549789,0.000000,0.350280,0.422186,0.687635,0.487496,,,,,0.507434,0.507434,0.000000,0.394773,0.490240,0.709599,0.542213,,,,,0.319657
46,0.00020000,0.550078,0.550078,0.000000,0.357443,0.441840,0.667192,0.492397,,,,,0.511542,0.511542,0.000000,0.371489,0.426674,0.768788,0.518317,,,,,0.287312
47,0.00020000,0.549340,0.549340,0.000000,0.351112,0.425330,0.689024,0.488465,,,,,0.504653,0.504653,0.000000,0.390056,0.466258,0.730006,0.537541,,,,,0.311192
48,0.00020000,0.538913,0.538913,0.000000,0.364064,0.442016,0.684201,0.501275,,,,,0.505455,0.505455,0.000000,0.388757,0.464383,0.736993,0.535701,,,,,0.308089
49,0.00020000,0.534930,0.534930,0.000000,0.363728,0.437662,0.697925,0.503156,,,,,0.504420,0.504420,0.000000,0.397670,0.484807,0.713909,0.544036,,,,,0.331223
50,0.00020000,0.541424,0.541424,0.000000,0.361641,0.439818,0.683220,0.498670,,,,,0.491584,0.491584,0.000000,0.404193,0.480088,0.744525,0.551540,,,,,0.331436
51,0.00020000,0.537203,0.537203,0.000000,0.368704,0.448977,0.681874,0.505555,,,,,0.498854,0.498854,0.000000,0.389296,0.453560,0.763620,0.535812,,,,,0.308418
52,0.00020000,0.523548,0.523548,0.000000,0.372279,0.442546,0.723541,0.512537,,,,,0.500156,0.500156,0.000000,0.400742,0.485630,0.718978,0.546929,,,,,0.326892
53,0.00020000,0.529017,0.529017,0.000000,0.377789,0.464696,0.690014,0.516534,,,,,0.496356,0.496356,0.000000,0.389001,0.448303,0.772469,0.536714,,,,,0.300760
54,0.00020000,0.525846,0.525846,0.000000,0.378707,0.461120,0.698434,0.517420,,,,,0.492224,0.492224,0.000000,0.405633,0.482469,0.734103,0.551644,,,,,0.344651
55,0.00020000,0.529453,0.529453,0.000000,0.374587,0.458433,0.693792,0.513591,,,,,0.495885,0.495885,0.000000,0.399919,0.481623,0.740234,0.546745,,,,,0.330053
56,0.00020000,0.530632,0.530632,0.000000,0.377892,0.463286,0.680562,0.514521,,,,,0.480374,0.480374,0.000000,0.410798,0.478231,0.763378,0.558307,,,,,0.331485
57,0.00020000,0.523404,0.523404,0.000000,0.382338,0.471994,0.691604,0.521484,,,,,0.488362,0.488362,0.000000,0.409937,0.485259,0.734940,0.555326,,,,,0.334558
58,0.00020000,0.528023,0.528023,0.000000,0.376314,0.457324,0.692875,0.514050,,,,,0.483631,0.483631,0.000000,0.403693,0.463120,0.777202,0.550617,,,,,0.311605
59,0.00020000,0.519193,0.519193,0.000000,0.384129,0.468284,0.701260,0.523724,,,,,0.495720,0.495720,0.000000,0.413337,0.516516,0.703846,0.557599,,,,,0.346846
60,0.00020000,0.526306,0.526306,0.000000,0.381787,0.465028,0.688581,0.518547,,,,,0.488355,0.488355,0.000000,0.408169,0.486327,0.747082,0.554734,,,,,0.341256
61,0.00020000,0.512477,0.512477,0.000000,0.393148,0.479670,0.706817,0.533623,,,,,0.493187,0.493187,0.000000,0.403536,0.482246,0.739631,0.550044,,,,,0.327932
62,0.00020000,0.519403,0.519403,0.000000,0.386633,0.470804,0.694850,0.524915,,,,,0.489280,0.489280,0.000000,0.405523,0.478500,0.754150,0.551608,,,,,0.325946
63,0.00004000,0.511702,0.511702,0.000000,0.393074,0.474721,0.707190,0.532866,,,,,0.485986,0.485986,0.000000,0.410038,0.485025,0.752645,0.556179,,,,,0.328025
64,0.00004000,0.510033,0.510033,0.000000,0.393682,0.472634,0.708902,0.532363,,,,,0.488144,0.488144,0.000000,0.408391,0.483923,0.750493,0.553709,,,,,0.335101
65,0.00004000,0.511831,0.511831,0.000000,0.392260,0.475477,0.709000,0.532419,,,,,0.485068,0.485068,0.000000,0.413420,0.492084,0.747058,0.559038,,,,,0.337430
66,0.00004000,0.509054,0.509054,0.000000,0.394648,0.476651,0.706964,0.535023,,,,,0.485020,0.485020,0.000000,0.410579,0.483556,0.755537,0.556099,,,,,0.335132
67,0.00004000,0.512741,0.512741,0.000000,0.389713,0.469692,0.709895,0.529750,,,,,0.484431,0.484431,0.000000,0.407424,0.474790,0.766240,0.554030,,,,,0.340247
68,0.00004000,0.514127,0.514127,0.000000,0.387500,0.467882,0.709678,0.528004,,,,,0.484546,0.484546,0.000000,0.404846,0.468041,0.771741,0.551619,,,,,0.329512
69,0.00000800,0.514947,0.514947,0.000000,0.385116,0.461825,0.716074,0.525588,,,,,0.483267,0.483267,0.000000,0.410083,0.480156,0.760221,0.556907,,,,,0.340764
70,0.00000800,0.519190,0.519190,0.000000,0.384578,0.463541,0.699334,0.523218,,,,,0.482025,0.482025,0.000000,0.413432,0.486284,0.754902,0.559875,,,,,0.345072
