Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
24,0.00100000,0.681566,0.579311,0.102255,0.324468,0.395243,0.651640,0.455386,0.401263,0.539937,0.609010,0.534598,0.632963,0.537660,0.095302,0.352308,0.411911,0.721994,0.493787,0.441496,0.555144,0.691535,0.583866,0.281784
25,0.00100000,0.675494,0.574444,0.101050,0.330299,0.409400,0.652983,0.462892,0.409534,0.561005,0.607274,0.544659,0.623747,0.531622,0.092125,0.380127,0.484732,0.663522,0.523684,0.462211,0.630300,0.649065,0.603760,0.305851
26,0.00100000,0.661768,0.562392,0.099376,0.341358,0.418599,0.667842,0.476279,0.418364,0.566503,0.620258,0.555121,0.637795,0.541602,0.096193,0.321508,0.347982,0.838599,0.464513,0.438392,0.506278,0.792378,0.587015,0.240453
27,0.00100000,0.670154,0.569904,0.100251,0.332899,0.407761,0.663790,0.467016,0.410340,0.555385,0.618657,0.547033,0.631131,0.536836,0.094295,0.345253,0.400032,0.741474,0.490570,0.449816,0.561863,0.698478,0.594068,0.262905
28,0.00100000,0.659725,0.561154,0.098571,0.337871,0.404435,0.678137,0.472208,0.425151,0.564777,0.628494,0.560942,0.640001,0.543159,0.096842,0.380298,0.515468,0.618261,0.519037,0.432630,0.679852,0.539228,0.564855,0.326800
29,0.00100000,0.677607,0.576490,0.101117,0.327152,0.405763,0.650715,0.460025,0.408554,0.559415,0.602017,0.542905,0.607333,0.514339,0.092995,0.356849,0.397468,0.814739,0.503494,0.470979,0.574473,0.741768,0.614664,0.281846
30,0.00100000,0.663532,0.564606,0.098926,0.336112,0.412970,0.670579,0.472055,0.421225,0.574668,0.616205,0.557836,0.598898,0.508579,0.090319,0.377830,0.443317,0.765307,0.525192,0.474994,0.612824,0.703713,0.618097,0.296330
31,0.00100000,0.655304,0.556957,0.098347,0.346433,0.424960,0.670601,0.481432,0.426549,0.583079,0.621093,0.561661,0.606704,0.515872,0.090832,0.349086,0.378390,0.837076,0.494779,0.474947,0.579329,0.753124,0.619997,0.266083
32,0.00100000,0.648844,0.551333,0.097510,0.352971,0.433581,0.674041,0.488741,0.434880,0.588944,0.626171,0.570417,0.609492,0.517976,0.091516,0.391861,0.493582,0.682581,0.537124,0.466398,0.658847,0.630379,0.609505,0.332361
33,0.00100000,0.653470,0.555882,0.097587,0.348636,0.429347,0.664573,0.483772,0.430484,0.584552,0.619740,0.565953,0.606535,0.514638,0.091897,0.361659,0.406288,0.785992,0.507740,0.476350,0.590589,0.718797,0.619884,0.301734
34,0.00100000,0.645875,0.549407,0.096468,0.354986,0.431605,0.674110,0.490088,0.440534,0.591430,0.631345,0.576283,0.623392,0.531062,0.092330,0.394808,0.509133,0.626086,0.530248,0.472117,0.670045,0.595148,0.602847,0.349966
35,0.00100000,0.647412,0.550413,0.096999,0.356637,0.444275,0.666530,0.491441,0.436168,0.595982,0.627134,0.571957,0.594664,0.505499,0.089165,0.395701,0.487624,0.713344,0.543436,0.481625,0.623879,0.699238,0.626525,0.329592
36,0.00100000,0.646135,0.549202,0.096933,0.356526,0.442543,0.677183,0.492642,0.433637,0.595980,0.626311,0.570842,0.629892,0.535250,0.094642,0.325183,0.351169,0.846851,0.470961,0.455502,0.540244,0.766845,0.604933,0.258297
37,0.00100000,0.648065,0.551265,0.096801,0.347709,0.418020,0.685502,0.483999,0.436615,0.584928,0.631500,0.572842,0.612310,0.519308,0.093002,0.371128,0.442943,0.732205,0.516903,0.456474,0.627051,0.638082,0.596849,0.305388
38,0.00100000,0.637143,0.541851,0.095292,0.362497,0.441827,0.686009,0.499348,0.446700,0.603771,0.633070,0.582352,0.606915,0.515472,0.091443,0.377487,0.447176,0.737932,0.520860,0.472624,0.619247,0.682234,0.613261,0.311557
39,0.00100000,0.641197,0.545114,0.096082,0.358911,0.441215,0.675443,0.495084,0.443652,0.598119,0.632664,0.579289,0.603526,0.513050,0.090476,0.391986,0.481340,0.692929,0.535063,0.477855,0.644949,0.651382,0.616889,0.323645
40,0.00100000,0.638802,0.543289,0.095513,0.361383,0.441044,0.676747,0.497375,0.444176,0.597829,0.628459,0.578449,0.584890,0.496550,0.088340,0.404873,0.500303,0.714277,0.554301,0.481099,0.668212,0.647490,0.625729,0.341730
41,0.00100000,0.635534,0.540050,0.095484,0.361876,0.438028,0.686767,0.498665,0.443778,0.590766,0.639098,0.579654,0.603513,0.511973,0.091539,0.380720,0.453568,0.738363,0.528108,0.457488,0.614741,0.664841,0.606329,0.310036
42,0.00100000,0.633420,0.538692,0.094729,0.360993,0.434394,0.694845,0.498413,0.445898,0.595337,0.637777,0.582212,0.611058,0.518676,0.092382,0.394097,0.504621,0.664136,0.538534,0.460882,0.687676,0.583711,0.598827,0.350125
43,0.00100000,0.632753,0.537653,0.095100,0.364334,0.441581,0.695008,0.501553,0.445894,0.604721,0.631645,0.581617,0.598137,0.507717,0.090419,0.376671,0.427461,0.771940,0.520184,0.484018,0.595622,0.722731,0.623307,0.307079
44,0.00100000,0.619285,0.526975,0.092310,0.378665,0.461867,0.687760,0.516787,0.465668,0.629762,0.636748,0.600393,0.596330,0.506078,0.090252,0.389891,0.468496,0.727771,0.537081,0.476570,0.615809,0.686593,0.619497,0.313768
45,0.00100000,0.622585,0.529792,0.092793,0.372964,0.457417,0.694629,0.512568,0.461113,0.622416,0.647139,0.598787,0.630333,0.536348,0.093986,0.381715,0.500584,0.634379,0.524843,0.446567,0.641014,0.597694,0.586011,0.314644
46,0.00100000,0.613385,0.521401,0.091984,0.380214,0.460412,0.708721,0.520290,0.465524,0.629268,0.653293,0.603677,0.582804,0.495089,0.087715,0.416229,0.524376,0.697899,0.561689,0.489589,0.703547,0.626042,0.629511,0.354765
47,0.00100000,0.621153,0.527877,0.093276,0.379267,0.464985,0.683884,0.516195,0.460334,0.616787,0.644129,0.595764,0.566406,0.481104,0.085302,0.392929,0.441296,0.817888,0.544851,0.515826,0.620313,0.780610,0.661132,0.303982
48,0.00100000,0.623341,0.530238,0.093102,0.374217,0.455150,0.694926,0.511296,0.460621,0.618154,0.647484,0.597103,0.602616,0.511374,0.091242,0.390558,0.469402,0.712001,0.532896,0.467618,0.644853,0.635439,0.608816,0.328011
49,0.00100000,0.616182,0.523638,0.092544,0.381657,0.462150,0.696185,0.519088,0.465853,0.627869,0.640856,0.600886,0.576152,0.490543,0.085610,0.403571,0.483140,0.748313,0.553737,0.499061,0.666631,0.682067,0.642838,0.330981
50,0.00100000,0.626046,0.532051,0.093994,0.371828,0.452267,0.692748,0.508665,0.457074,0.615190,0.640924,0.591236,0.593039,0.503683,0.089356,0.385874,0.454992,0.747852,0.533145,0.485682,0.626479,0.691758,0.626456,0.312625
51,0.00100000,0.629476,0.535195,0.094281,0.367807,0.446747,0.695412,0.504689,0.450348,0.607426,0.636910,0.586102,0.567943,0.481154,0.086789,0.400284,0.456126,0.785800,0.549088,0.509768,0.654912,0.700716,0.647665,0.329998
52,0.00100000,0.618241,0.525510,0.092731,0.377550,0.456651,0.699461,0.516553,0.465011,0.623594,0.646237,0.600830,0.594944,0.503205,0.091739,0.383964,0.444413,0.760416,0.529622,0.489557,0.596843,0.747780,0.630510,0.313671
53,0.00100000,0.615761,0.523283,0.092477,0.382792,0.464788,0.693622,0.519814,0.467477,0.627945,0.647608,0.601952,0.585466,0.497786,0.087680,0.419756,0.542943,0.677129,0.565972,0.482723,0.717695,0.603498,0.623246,0.376370
