Epoch,LR,Train_Loss,Train_Seg_Loss,Train_Heatmap_Loss,Train_Seg_IoU,Train_Seg_Precision,Train_Seg_Recall,Train_Seg_F1,Train_Heatmap_IoU,Train_Heatmap_Precision,Train_Heatmap_Recall,Train_Heatmap_F1,Val_Loss,Val_Seg_Loss,Val_Heatmap_Loss,Val_Seg_IoU,Val_Seg_Precision,Val_Seg_Recall,Val_Seg_F1,Val_Heatmap_IoU,Val_Heatmap_Precision,Val_Heatmap_Recall,Val_Heatmap_F1,Val_ARCADE_Polygon_Instance_F1
24,0.00100000,0.673342,0.572851,0.100491,0.329118,0.401046,0.662028,0.462541,0.410197,0.551604,0.621258,0.546866,0.620226,0.527495,0.092730,0.375988,0.454359,0.690609,0.517249,0.460909,0.576685,0.692933,0.600062,0.299740
25,0.00100000,0.676354,0.575065,0.101289,0.327054,0.397716,0.668355,0.459085,0.405647,0.550628,0.613671,0.540746,0.672771,0.571728,0.101043,0.352193,0.469463,0.587226,0.485794,0.406934,0.613734,0.533031,0.537685,0.301624
26,0.00100000,0.663400,0.564550,0.098850,0.336764,0.403853,0.668606,0.469723,0.418634,0.561744,0.618523,0.553893,0.616221,0.524241,0.091980,0.372682,0.449353,0.713612,0.516685,0.462052,0.602170,0.678436,0.605247,0.317856
27,0.00100000,0.662707,0.563319,0.099388,0.338052,0.410908,0.670903,0.472478,0.417120,0.562006,0.620436,0.553770,0.611223,0.519499,0.091724,0.374087,0.447033,0.730707,0.518577,0.465456,0.586274,0.706543,0.608330,0.295394
28,0.00100000,0.662687,0.563209,0.099477,0.340058,0.417747,0.665772,0.475072,0.416866,0.566449,0.619521,0.554283,0.665687,0.566803,0.098883,0.298477,0.322946,0.821660,0.436595,0.429492,0.514604,0.739713,0.573244,0.216834
29,0.00100000,0.662093,0.562835,0.099257,0.336036,0.405021,0.685887,0.470215,0.414915,0.558927,0.624322,0.552293,0.610760,0.520145,0.090615,0.349011,0.384798,0.819546,0.494811,0.465688,0.574984,0.730298,0.612466,0.263180
30,0.00100000,0.656439,0.558142,0.098297,0.342409,0.414505,0.681063,0.477671,0.425099,0.574835,0.626145,0.563424,0.586637,0.497695,0.088942,0.398584,0.471225,0.742571,0.543083,0.475601,0.645839,0.654089,0.618221,0.327306
31,0.00100000,0.644924,0.548924,0.096000,0.353191,0.425872,0.681290,0.488500,0.436986,0.585852,0.632427,0.572997,0.629319,0.533613,0.095706,0.344990,0.388558,0.763879,0.488234,0.444949,0.553734,0.699820,0.588745,0.275270
32,0.00100000,0.650495,0.552966,0.097529,0.347032,0.419608,0.681638,0.483113,0.428073,0.575581,0.628306,0.565726,0.600272,0.510044,0.090228,0.379512,0.440258,0.741917,0.524047,0.476659,0.612064,0.678911,0.616086,0.304604
33,0.00100000,0.638203,0.542764,0.095439,0.359759,0.440185,0.687087,0.497354,0.443309,0.598870,0.641671,0.581933,0.594574,0.504442,0.090133,0.385075,0.448459,0.759155,0.531168,0.484812,0.598143,0.739482,0.627816,0.329161
